clean_content,sentiment,label,score,text_length,word_count,at,thumbsUpCount,reviewCreatedVersion,appVersion
akun aku kena suspend,negatif,0,1,21,4,2026-05-15 09:07:00,0,,
masih banyak bug,netral,1,4,16,3,2026-05-09 13:25:36,0,428.0.0.47.67,428.0.0.47.67
sangat senang dengan aplikasi kasih ini,netral,1,4,39,6,2026-01-05 02:53:59,0,,
akun ditangguhkan cuman karna salah masukin tahun lahir padahal udah diajukan banding dengan cara kirim foto identitas tapi tetep aja akun dinonaktifkan,negatif,0,1,152,22,2026-03-10 07:39:42,0,,
untuk posting testi,positif,2,5,19,3,2026-03-24 06:07:00,0,421.0.0.51.66,421.0.0.51.66
very helpful thank you,positif,2,5,22,4,2026-05-16 19:51:46,0,,
its a good life,positif,2,5,15,4,2026-01-14 23:31:12,0,411.0.0.23.257,411.0.0.23.257
ini error apa gimana dari kemarin kok gak bisa dibuka,netral,1,3,53,10,2026-04-25 01:10:09,1,374.0.0.43.67,374.0.0.43.67
ini knpa ig ku error yaa gabisa dibuka padahal gbsa bgt tnpa ig,netral,1,3,63,13,2026-02-02 10:09:49,0,278.0.0.22.117,278.0.0.22.117
tolong dong instagram diperbaharui kebijakannya banyak sekali konten kreator yg melibatkan anak dibawah usia tiga tahun alias bayi dijadikan konten kalau menurutku sih kurang baik dan pantas,negatif,0,1,190,27,2026-03-24 23:17:11,1,422.0.0.44.64,422.0.0.44.64
aplikasi nya bagus tidak ada ngelag nya dan penyimpanan saya tidak penuh terimakasih atas instagram nya dan terimakasih,positif,2,5,119,18,2026-04-15 15:39:20,0,,
tolong dong kenapa ig sekarang banyak judol nya,positif,2,5,47,8,2026-03-19 21:39:29,0,417.0.0.54.77,417.0.0.54.77
gabisa di buat akun,negatif,0,1,19,4,2026-01-14 06:05:35,0,278.0.0.22.117,278.0.0.22.117
kepaksa ngasih bintang lima juga biar muncul paling atas ige kanapa da gua gabisa bikin postingan anjir kesel bet gua giliran yang akun satu lagi bisa tapi gabisa nambahin lagu ngntt,positif,2,5,182,31,2025-12-27 06:27:07,0,278.0.0.22.117,278.0.0.22.117
berguna,positif,2,5,7,1,2026-05-21 12:36:52,0,,
akun lama ke blokir terus buat akun baru ke blokir lagi udah berapa akun saya yang followers banyak di blokir dengan alasan memakai foto orang terkenal padahal pake foto diri sendiri dan sangat mengecewakan,negatif,0,1,206,34,2026-05-04 21:06:56,0,,
always love this ig always n always love,positif,2,5,40,8,2026-05-20 12:40:00,0,430.0.0.53.80,430.0.0.53.80
eror terus,negatif,0,1,10,2,2025-12-24 13:30:24,0,364.0.0.35.86,364.0.0.35.86
subtitle dari bahasa luar nya ngarang,negatif,0,1,37,6,2025-12-21 20:34:27,0,410.1.0.63.71,410.1.0.63.71
healing ke gunung sinabung hal yang indah,positif,2,5,41,7,2025-12-07 11:51:28,0,408.0.0.51.78,408.0.0.51.78
dijadikan tempat selingkuh apk ini,negatif,0,1,34,5,2026-01-15 16:36:04,0,,
bagus sekali untuk masa depan,positif,2,5,29,5,2026-03-30 12:19:37,0,422.0.0.44.64,422.0.0.44.64
akun gua di blokir mulu padahal ga bikin salah apa apa,negatif,0,1,54,11,2026-05-18 02:44:54,0,429.1.0.44.70,429.1.0.44.70
saya suka aplikasinya,positif,2,5,21,3,2026-04-04 11:48:09,0,362.0.0.33.241,362.0.0.33.241
lanjut,negatif,0,1,6,1,2026-01-24 21:01:26,0,411.0.0.23.257,411.0.0.23.257
apk ga berguna akun ku kesuspend langsung 7 gila pisan ig,netral,1,2,57,11,2026-03-22 06:33:36,0,,
sangat luar biasaa,netral,1,4,18,3,2026-01-25 03:47:05,0,,
saya mau pake filter sja tidk bisah terus padahal jaringan saya bagus tpi di ig terjadi masalah terus maslah apa masalah mu kah,netral,1,2,127,23,2026-04-28 23:25:38,1,,
mantaapp sayaa sangatt sukaaaa dengannn iniiii 1000 10 dehhh kyaakk nyaaaaaa,positif,2,5,76,11,2026-03-12 03:41:11,0,,
aplikasi gajelas ig gua ke suspend mlu,negatif,0,1,38,7,2026-02-15 05:56:31,0,,
semoga menjadi lebih baik lagi kedepannya dan bermanfaat bagi setiap penggunanya,positif,2,5,80,11,2026-04-16 08:47:18,0,424.0.0.49.64,424.0.0.49.64
aplikasi yang sangat mantapp marii dowload dan posting keseharian kalian,positif,2,5,72,10,2026-02-25 12:52:40,0,417.0.0.54.77,417.0.0.54.77
tidak bisa live d ig,positif,2,5,20,5,2026-02-06 15:17:15,0,410.1.0.63.71,410.1.0.63.71
kok semenjak di update filter yg saya simpan jadi hilang semua ya udah saya cari beberapa kali tetap gk ketemu trs filter yg dulu bagus bagus sekarang jadi gk ada,netral,1,4,162,30,2026-04-11 07:20:24,0,424.0.0.49.64,424.0.0.49.64
jujur masih nyaman aja pake instagram yg kecewa itu update terus menerus dengan fitur ga guna sama sekali lama udh satu spesies sama tiktok udh ini mana ada bug lagu gabisa di apply search atau ganti music di profile gabisa,netral,1,2,223,40,2025-12-23 17:04:24,11,410.1.0.63.71,410.1.0.63.71
relsnya kadang kurang bagus,netral,1,4,27,4,2026-05-03 03:10:20,0,,
paraah instagram ini tidak bisa buka untuk melihat story instagram,negatif,0,1,66,10,2026-04-26 05:03:42,0,426.0.0.37.68,426.0.0.37.68
apk instagram sangat bagus sekali saya tidak kecewa dengan apk instagram ini karna bisa membantu saya saya trimakasih untuk apk instagram is the best,positif,2,5,149,24,2026-02-02 15:36:19,1,,
cepat banyak followers,positif,2,5,22,3,2026-04-24 06:43:21,0,426.0.0.37.68,426.0.0.37.68
sering bug,netral,1,3,10,2,2026-05-22 02:25:41,1,377.1.0.48.63,377.1.0.48.63
instagram saya mengalami force close pedahal sebelumnya baik baik saja,negatif,0,1,70,10,2026-02-12 13:17:11,0,380.0.0.49.84,380.0.0.49.84
mencoba memahami tentang tutorial instagram,positif,2,5,43,5,2025-12-22 11:46:06,0,410.1.0.63.71,410.1.0.63.71
iklan gang otak,negatif,0,1,15,3,2026-02-16 05:03:51,0,414.0.0.40.83,414.0.0.40.83
hai pihak instagram saya kan bikin sg di akun ig saya ko jadi warna hitam semua ya jadi ga keliatan apa yg saya posting,netral,1,4,119,24,2026-03-25 09:41:27,0,,
stlh update makin ga bagus mau bkin grid gabisa,positif,2,5,47,9,2026-05-20 05:15:24,0,255.1.0.17.102,255.1.0.17.102
sya senang,positif,2,5,10,2,2026-02-05 05:34:58,0,,
sengajak tak kasi bintang lima biar ada di atas sendiri fitur tebaru stori instagram bisa dijadiin stori whatsapp tidak berbentuk link tapi punya saya tetep bentuk link sudah di perbarui berkalikali di copot pasang tetep gabisa bantu dong min,positif,2,5,242,39,2025-12-21 01:32:47,262,410.1.0.63.71,410.1.0.63.71
bagus kerenn,netral,1,3,12,2,2026-03-06 04:44:09,0,,
terbaik lah ges,positif,2,5,15,3,2025-12-16 11:56:33,0,,
saya gak bisa login ig,negatif,0,1,22,5,2026-04-25 04:41:37,0,,
bikin emosi aja kadang bentrok ini email dengan satunya heran gua,negatif,0,1,65,11,2026-05-06 22:41:02,0,245.0.0.18.108,245.0.0.18.108
siipp,netral,1,3,5,1,2026-04-15 02:56:56,0,,
ga lngsung keluar fitur terbarunya harus nunggu lama,negatif,0,1,52,8,2026-04-27 14:38:12,0,426.0.0.37.68,426.0.0.37.68
reels ig sekarang ngawur udah kaya tiktok udah pilih tidak tertarik hastagnya diketik tetap keluar video ngawur kayak tiktok,negatif,0,1,124,19,2026-04-14 11:30:14,0,315.0.0.29.109,315.0.0.29.109
kenapa pesan dm bertuliskan pesan tidak bisa di terima gunakan versi terbaru,positif,2,5,76,12,2026-02-10 11:57:36,0,278.0.0.22.117,278.0.0.22.117
instagram makin kesini makin ngaco lagi debat sama orang yang ngatain cewek miskin hina banget dapat cowok kaya saya lagi ngasih statement kontra yang mendukung para perempuan yang dihina secara online malah akun saya yang dinonaktifkan sama pihak instagram admin instagram bisa baca dengan bijak gak sih komentar orang apa pada minim literasi semua,negatif,0,1,349,54,2026-04-28 09:04:32,0,426.0.0.37.68,426.0.0.37.68
akun ku di penanggukan aku gak ada komen aneh aneh like biyasa aja follow biyasa kok bisa kenak penangguhan pada hal gak pernah komen aneh aneh,negatif,0,1,143,26,2026-03-20 06:08:53,1,422.0.0.0.48,422.0.0.0.48
sangat bagus dan berguna untuk komunikasi,netral,1,4,41,6,2026-05-21 19:15:02,0,429.1.0.44.70,429.1.0.44.70
mantap go follow izzu0ll,positif,2,5,24,4,2026-05-22 12:23:22,0,430.0.0.53.80,430.0.0.53.80
lintang 3,netral,1,3,9,2,2026-01-16 22:58:56,0,409.0.0.48.170,409.0.0.48.170
add sort comment activity by like count,netral,1,3,39,7,2026-01-15 03:14:31,0,,
saya punya saran kalau di buat kayak map nah nanti setiap kita di salah satu tempat nanti kelihatan pengguna instagram dan akun nya juga untuk kaum jomblo kalau ketemu cewe cantik atau kaum cowo ganteng tapi gatau ignya,positif,2,5,219,38,2026-02-16 15:19:00,2,416.0.0.47.66,416.0.0.47.66
media sosial yang sangat penting untuk saya,positif,2,5,43,7,2026-04-09 16:57:26,0,,
tidak muncul komentar di story,positif,2,5,30,5,2026-05-07 15:49:45,0,278.0.0.22.117,278.0.0.22.117
ig in sngt bgs,positif,2,5,14,4,2026-04-12 00:50:36,0,,
semoga lancar jaya,positif,2,5,18,3,2026-02-23 03:49:56,0,417.0.0.54.77,417.0.0.54.77
apaan dah ig sekarang akun aku udah ilang 3 padahal g pernah ngapa ngapa tu akun cuma liat sg temen eh malah di ban permanen gajelas,negatif,0,1,132,26,2026-02-26 14:34:15,0,,
dear instagram team please consider adding an optional video playback resolution setting similar to the youtube app this would allow users to manually customize video quality to help reduce data consumption i have noticed that the app s data consumption is significantly higher than expected improving the efficiency of data usage would greatly enhance the user experience,negatif,0,1,372,57,2025-12-21 22:01:45,0,408.0.0.51.78,408.0.0.51.78
sudah bagus yang dulu sekarang ukuran untuk postingan mengecil,positif,2,5,62,9,2026-02-09 23:31:42,1,414.0.0.40.83,414.0.0.40.83
cocok dengan hp ku bisa di aplikasikan dengan baik,positif,2,5,50,9,2026-03-17 15:54:02,0,405.1.0.57.77,405.1.0.57.77
knp banyak iklan nya kalo malem bang gk enak loohhh,negatif,0,1,51,10,2026-04-26 16:13:19,0,426.0.0.37.68,426.0.0.37.68
pengalaman saya sangat buruk akun saya terus menerus di baned padahal saya tidak melakukan apapaun pengalaman sangat tidak menyenangkan semoga perusahaan ini cepat bangkrut,negatif,0,1,172,24,2026-05-05 01:16:25,0,374.0.0.43.67,374.0.0.43.67
instagram saya ngk bisa masuk atau login kak katanya memuat ulang tolong perbaiki kak,netral,1,2,85,14,2026-02-16 04:52:55,0,416.0.0.47.66,416.0.0.47.66
ig isi ny iklan judol anyink tiap login jam 1 malem,negatif,0,1,51,11,2026-03-10 19:20:05,1,410.1.0.63.71,410.1.0.63.71
login susah padahal di youtube aman aman aja ini ga bisa login ubah bahasa aja ga bisa,negatif,0,1,86,17,2026-04-24 07:54:35,1,284.0.0.22.85,284.0.0.22.85
akun gw jadi hilang apaan coba akun instagram di tangguhkan kagak pernah ngapa in lah malah kek gini instagram,negatif,0,1,110,19,2026-04-19 08:00:15,0,424.0.0.49.64,424.0.0.49.64
maaf aku kasi 1 karna gaadil banget ngasih fiitur fitur nya di acc 1 dan 2 beda bgt acc 1 yang setidaknya uda lama malah ga dikasih fitur terbaru sedangkan acc 2 ada fiturnya gajelas bgt plss aku juga mau ngerasain di acc 1 rajin update loh aku,negatif,0,1,244,48,2026-03-13 07:58:40,1,420.0.0.55.74,420.0.0.55.74
saya tidak menyukai fitur instagram yang terbaru ini di karenakan di batasi live an nya masa tunggu 1k followers bagaimana jika orang yang masih followers nya 400 ratusan,negatif,0,1,170,28,2025-12-29 13:05:36,0,410.1.0.63.71,410.1.0.63.71
amaze,positif,2,5,5,1,2025-12-28 05:03:35,0,410.1.0.63.71,410.1.0.63.71
kecewwa kena banned terus kacau ni aplikasi sekarang,negatif,0,1,52,8,2026-05-21 14:41:36,0,429.1.0.44.70,429.1.0.44.70
aplikasi nya bagus tpi ada sedikit perubahan yg saya tidak senang,netral,1,4,65,11,2026-05-11 11:07:03,0,428.0.0.47.67,428.0.0.47.67
pke ig bagus dan bisa edit fto,positif,2,5,30,7,2026-04-11 22:23:00,0,421.0.0.51.66,421.0.0.51.66
ini so cute,positif,2,5,11,3,2026-04-30 08:40:40,0,417.0.0.54.77,417.0.0.54.77
ilove itt,netral,1,4,9,2,2025-12-04 09:00:05,0,408.0.0.51.78,408.0.0.51.78
aplikasi instagram ini bagus buat promosi jualan,positif,2,5,48,7,2026-03-09 23:24:17,0,,
bagus bagus bagus dan sangat bagus sekali,positif,2,5,41,7,2026-01-14 15:44:03,0,411.0.0.23.257,411.0.0.23.257
dari kemarin login terus ga bisa lihat ig jadinya,netral,1,2,49,9,2026-04-27 07:31:21,0,,
aku saya sudah 4 kali kena banned sangat merugikan sekali,negatif,0,1,57,10,2026-01-13 06:13:08,1,411.0.0.23.257,411.0.0.23.257
ngpani ig berhenti terus,negatif,0,1,24,4,2026-04-01 18:36:21,0,423.0.0.47.66,423.0.0.47.66
udah di perbaruhi malah makin lelet,netral,1,2,35,6,2026-03-12 12:04:19,0,,
mudah fypnya,positif,2,5,12,2,2026-02-25 01:55:44,0,,
bagus dicoba,positif,2,5,12,2,2026-02-03 10:31:06,1,,
sengaja karena instagram itu favorite akuh,positif,2,5,42,6,2025-12-30 16:06:56,0,410.1.0.63.71,410.1.0.63.71
bismilah jd konten kreatif,positif,2,5,26,4,2026-03-04 22:39:39,0,,
cukup menghibur,positif,2,5,15,2,2026-01-14 23:19:17,0,,
aku sangat suka dengan instagram karena hasil foto dam video nya sangat lah bagus cantik dan keren sangat memuas kan,positif,2,5,116,20,2026-04-03 14:18:49,0,,
terupdate,netral,1,4,9,1,2026-05-20 00:30:51,0,417.0.0.54.77,417.0.0.54.77
kami melaporkan penipu yang mengambil postingan orang lain berulang kali tapi laporan kami tidak bisa diproses karena tidak melanggar komunitas padahal sudah jelas itu mengambil dan meniru orang lain tolonglah diperbaiki ini sudah merugikan sekali sebagai pengguna asli karena mereka terus menerus meniru tanpa adanya hukuman,negatif,0,1,325,46,2026-01-10 09:07:06,0,411.0.0.23.257,411.0.0.23.257
knp habis di update malah jadi ngebug sihh bukan nya habis di update makin bagus malah ngebug,negatif,0,1,93,17,2026-04-24 02:39:15,1,,
apk nya ngebug gabisa login aneh banget sumpah,negatif,0,1,46,8,2026-04-26 03:20:33,1,426.0.0.37.68,426.0.0.37.68
setelah di upgrade tambah kacau,negatif,0,1,31,5,2026-04-24 12:59:36,1,426.0.0.37.68,426.0.0.37.68
makin jelek ig,negatif,0,1,14,3,2026-05-04 15:49:03,0,427.0.0.47.73,427.0.0.47.73
bug trash app,negatif,0,1,13,3,2026-04-04 15:57:23,0,424.0.0.6.64,424.0.0.6.64
woii napa ig ini kok kalau buat story pakai lagu selalu rada ngeblur kalau pakai lagu kyk terlapisi burik iki mauuj,netral,1,4,115,21,2026-04-09 16:38:12,0,,
bagus sih kualitasya tinggi,positif,2,5,27,4,2026-01-17 02:17:14,0,412.0.0.35.87,412.0.0.35.87
aplikasinya oke,positif,2,5,15,2,2025-12-19 10:24:59,0,410.0.0.53.71,410.0.0.53.71
bagu bingit,positif,2,5,11,2,2026-04-11 10:35:43,0,,
ngebugg terus,netral,1,3,13,2,2026-04-30 14:45:31,0,427.0.0.47.73,427.0.0.47.73
tidak bisa posting ulg,netral,1,4,22,4,2026-05-16 00:31:40,0,,
masa iya gk bisa liat postingan orng yang gk kita fllw,netral,1,3,54,11,2026-05-18 02:21:01,0,429.1.0.44.70,429.1.0.44.70
selamat sore saya ngerasa tidak pernah berlangganan pembayaran pada aplikasi ini tapi kenapa udah 5 kali uang di dana saya keluar untuk pembayaran langganan aplikasi ini sekali keluarnya rp8 325 ya lumayan loh kira 40ribuan udah kesedot gimana tuh admin duit saya saya ada bukti screenshot nya,negatif,0,1,293,47,2025-12-28 09:54:47,9,410.1.0.63.71,410.1.0.63.71
media sosial yang baik tanda kutip,positif,2,5,34,6,2025-12-09 15:59:28,1,408.0.0.51.78,408.0.0.51.78
ini parahh sih ig dari tadi gw login gak bisa bisaa tolong lh di benerin lagii,negatif,0,1,78,16,2026-04-26 06:05:39,0,426.0.0.37.68,426.0.0.37.68
mantap semoga postingan fyp trs,positif,2,5,31,5,2026-02-21 20:36:19,0,416.0.0.47.66,416.0.0.47.66
konten di beranda gua ga sesuai sm yg gua tertarik udh gua laporin satu satu kontennya ttp aja muncul di beranda konten yg gw tertarik gada muncul satupun,negatif,0,1,154,28,2026-05-02 08:27:02,0,427.0.0.47.73,427.0.0.47.73
lama kali update nya di akun ku,negatif,0,1,31,7,2025-12-26 15:45:27,0,,
i don t know what happened to this app it s the worst login policy ever i forgot the password to my old deactivated account tried forgot password made a new one error tried again still error made a new account via facebook fine but when logging in on my laptop error again tried changing password this bastard app blocks me it won t accept the new password yet also says i can t reuse the old one very very bad,negatif,0,1,410,81,2025-12-05 14:57:21,0,408.0.0.51.78,408.0.0.51.78
min udah update tapi fitur stiker nya belum ada,negatif,0,1,47,9,2026-05-16 12:39:40,0,429.1.0.44.70,429.1.0.44.70
why don t i have the feature to hide likes,negatif,0,1,42,10,2026-04-02 12:26:34,0,266.0.0.19.106,266.0.0.19.106
sedih banget bug eror di story seperti terputus putus gitu bug nya ga langsung aja kalo story yang belum di liat di prioritaskan ke depan malahan yang sudah ikutan keselip di yang belum,netral,1,2,185,33,2026-03-28 09:49:46,3,422.0.0.44.64,422.0.0.44.64
isi nya cwe ga bnerr semua tolongg bilng iyaa yng sama kejadian sepertiku,positif,2,5,73,13,2026-01-02 16:03:54,0,,
kak kok di ig aku gk ada siaran langsung yh kak padhl pengikut nya udh byk tau kak udh seribu,positif,2,5,93,20,2026-03-06 02:45:50,0,419.0.0.49.71,419.0.0.49.71
kok pas mau main ig kayak ngeleg gitu kadang kecewa kalau mau main aplikasi tapi sebelumnya gak ada yg kek gini,netral,1,2,111,21,2026-04-26 05:12:07,0,426.0.0.37.68,426.0.0.37.68
iklan judi online sangat meresahkan dan sangat mengganggu sudah direport malah tambah banyak yang muncul,negatif,0,1,104,15,2026-04-14 10:50:48,0,424.0.0.49.64,424.0.0.49.64
belakangan ini instagram sering bgt ngebug terus terlalu banyak update yang kurang bermanfaat,netral,1,3,93,13,2026-05-02 01:02:10,1,427.0.0.47.73,427.0.0.47.73
asik cuma banyak yang akan kehilangan akun nya yang di bawah umur 16 tahun,positif,2,5,74,14,2026-03-12 15:12:36,0,,
ngengek,positif,2,5,7,1,2026-04-26 13:35:54,0,426.0.0.37.68,426.0.0.37.68
terimakasih dan mudah di pergunakan untuk tampil lebih baik,positif,2,5,59,9,2026-04-13 01:40:08,0,,
jelas ni hoax,positif,2,5,13,3,2026-01-04 18:48:04,0,410.1.0.63.71,410.1.0.63.71
aplikasi cacat tiba aplikasi sent msg tautan ke beberapa orang udah gak aman mending uninstall aja,negatif,0,1,98,16,2025-12-15 00:39:01,0,378.0.0.52.68,378.0.0.52.68
